t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2017-05-03,2017-04-19,0,532.090521,532.090521,
2018-02-02,2018-01-31,0,256.825104,256.825104,
2018-02-22,2018-02-09,0,236.925347,236.925347,
2018-03-16,2018-03-02,0,214.935289,214.935289,
2017-03-08,2017-03-01,0,588.442998,588.442998,
2017-08-21,2017-08-11,0,421.929039,421.929039,
2017-09-19,2017-09-18,0,392.953021,392.953021,
2017-07-27,2017-07-11,0,446.87669,446.87669,
2018-04-16,2018-03-06,0,184.256238,184.256238,
2017-10-27,2017-10-04,0,355.031447,355.031447,
2016-10-17,2016-10-10,0,730.075208,730.075208,
2017-10-09,2017-10-02,0,372.793368,372.793368,
2017-12-14,2017-11-27,0,307.125521,307.125521,
2017-05-10,2017-04-29,1,386.000972,525.111562,2018-05-31
2017-10-13,2017-09-22,0,369.011759,369.011759,
2018-03-01,2018-02-22,0,229.746562,229.746562,
2017-12-11,2017-11-26,0,309.753194,309.753194,
2017-12-27,2017-12-09,0,293.947986,293.947986,
2017-05-29,2017-05-24,0,506.220069,506.220069,
2017-12-04,2017-11-24,0,316.765625,316.765625,
2017-12-13,2017-11-30,0,307.871852,307.871852,
2018-04-06,2018-03-21,0,194.644155,194.644155,
2018-04-02,2018-03-21,0,197.799896,197.799896,
2018-02-05,2018-01-11,0,253.903715,253.903715,
2018-01-19,2017-11-24,0,270.868553,270.868553,
2018-01-31,2018-01-25,0,258.841539,258.841539,
2017-06-19,2017-06-08,0,484.970567,484.970567,
2017-05-29,2017-05-22,0,506.392755,506.392755,
